"GeneID","Symbol","Description"
"100008564","Gm14018","WD repeat domain 76 pseudogene"
"100008567","Gm14964","predicted gene 14964"
"100009600","Zglp1","zinc finger, GATA-like protein 1"
"100009609","Vmn2r65","vomeronasal 2, receptor 65"
"100009614","Krtap12-22","keratin associated protein 12-22"
"100009664","F630206G17Rik","RIKEN cDNA F630206G17 gene"
"100009698","Gm14504","pyruvate kinase, muscle pseudogene"
"100012","Oog3","oogenesin 3"
"100015211","Notumos","notum palmitoleoyl-protein carboxylesterase, opposite strand"
"100017","Ldlrap1","low density lipoprotein receptor adaptor protein 1"
"100019","Mdn1","midasin AAA ATPase 1"
"100033452","Gm13394","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"100033459","Ifi208","interferon activated gene 208"
"100034251","Wfdc17","WAP four-disulfide core domain 17"
"100034360","9330171B17Rik","RIKEN cDNA 9330171B17 gene"
"100034361","Mfap1b","microfibrillar-associated protein 1B"
"100034363","Tmsb15b2","thymosin beta 15b2"
"100034661","Gm12802","predicted gene 12802"
"100034662","Gm1969","vacuole membrane protein 1 pseudogene"
"100034675","Gm11335","predicted gene 11335"
"100034684","Cstdc5","cystatin domain containing 5"
"100034724","Rpl15-ps3","ribosomal protein L15, pseudogene 3"
"100034726","Gm15772","ribosomal protein L26 pseudogene"
"100034727","Rps12-ps3","ribosomal protein S12, pseudogene 3"
"100034728","Rps12-ps4","ribosomal protein S12, pseudogene 4"
"100034729","Gm15114","predicted gene 15114"
"100034748","Prr35","proline rich 35"
"100036518","Vmn1r223","vomeronasal 1 receptor 223"
"100036520","Gata5os","GATA binding protein 5, opposite strand"
"100036521","Umad1","UMAP1-MVP12 associated (UMA) domain containing 1"
"100036523","Gm16982","predicted gene, 16982"
"100036526","Gm9887","predicted gene 9887"
"100036533","Gm9934","predicted gene 9934"
"100036535","Gm9913","predicted gene 9913"
"100036537","Gm11149","predicted gene 11149"
"100036538","BC028777","cDNA sequence BC028777"
"100036539","Gm13999","predicted gene 13999"
"100036541","Gm9744","predicted gene 9744"
"100036544","D630002J18Rik","RIKEN cDNA D630002J18 gene"
"100036568","Gm3373","predicted gene 3373"
"100036569","Gm16525","predicted gene, 16525"
"100036573","Gm13066","predicted gene 13066"
"100036768","Gm11696","predicted gene 11696"
"100037258","Dnajc3","DnaJ heat shock protein family (Hsp40) member C3"
"100037260","9430060I03Rik","RIKEN cDNA 9430060I03 gene"
"100037262","Gm12359","predicted gene 12359"
"100037263","4921516A02Rik","RIKEN cDNA 4921516A02 gene"
"100037278","Niban3","niban apoptosis regulator 3"
"100037282","Rsph3b","radial spoke 3B homolog (Chlamydomonas)"
"100037283","Rnaset2a","ribonuclease T2A"
"100037396","D030047H15Rik","RIKEN cDNA D030047H15 gene"
"100037413","Gm13274","predicted gene 13274"
"100038346","B930046K06Rik","RIKEN cDNA B930046K06 gene"
"100038347","Fam174b","family with sequence similarity 174, member B"
"100038349","Gm10862","predicted gene 10862"
"100038352","Gm10802","predicted gene 10802"
"100038353","Gm10532","predicted gene 10532"
"100038354","G730003C15Rik","RIKEN cDNA G730003C15 gene"
"100038355","Runx2os1","runt related transcription factor 2, opposite strand 1"
"100038356","Gm15612","predicted gene 15612"
"100038357","Gm10856","predicted gene 10856"
"100038358","Gm10857","predicted gene 10857"
"100038361","Gm10723","predicted gene 10723"
"100038363","Mir223hg","Mir223 host gene"
"100038367","Gm10513","predicted gene 10513"
"100038371","Zfp389","zinc finger protein 389"
"100038373","Gm10062","adaptor-related protein complex AP-1, sigma 3 pseudogene"
"100038374","Gm10714","predicted gene 10714"
"100038375","Gm10531","predicted gene 10531"
"100038376","Gm10876","predicted gene 10876"
"100038377","Gm10750","predicted gene 10750"
"100038378","Gm10433","predicted gene 10433"
"100038380","Gm10837","predicted gene 10837"
"100038381","Gm10647","predicted gene 10647"
"100038382","Gm10648","predicted gene 10648"
"100038383","Gm10650","predicted gene 10650"
"100038384","Gm10610","predicted gene 10610"
"100038385","F830115B05Rik","RIKEN cDNA F830115B05 gene"
"100038388","Gm10614","predicted gene 10614"
"100038389","Gm10286","predicted gene 10286"
"100038391","Gm10287","predicted gene 10287"
