,Name,Term,ES,NES
0,4ZJQV2_40_count,Cytoplasmic Translation (GO:0002181),26786.842644816126,0.740077739224254
1,4ZJQV2_37_count,Cytoplasmic Translation (GO:0002181),26775.476009081078,0.7397636972078461
2,4ZJQV2_5_count,Cytoplasmic Translation (GO:0002181),26773.51077076699,0.7397094008076389
3,4ZJQV2_36_count,Cytoplasmic Translation (GO:0002181),26765.899005673313,0.7394990998783085
4,4ZJQV2_20_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26762.891457191996,0.7394160061105892
5,4ZJQV2_13_count,Cytoplasmic Translation (GO:0002181),26751.507468921645,0.7391014846713069
6,4ZJQV2_30_count,Cytoplasmic Translation (GO:0002181),26749.89390121116,0.7390569043689885
7,4ZJQV2_15_count,Cytoplasmic Translation (GO:0002181),26748.885729564736,0.7390290501943577
8,4ZJQV2_35_count,Cytoplasmic Translation (GO:0002181),26746.91310232653,0.7389745496499621
9,4ZJQV2_10_count,Cytoplasmic Translation (GO:0002181),26746.84516266479,0.7389726725854671
10,4ZJQV2_16_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26746.68833419797,0.7389683396650587
11,4ZJQV2_28_count,Cytoplasmic Translation (GO:0002181),26743.497677200092,0.7388801869010715
12,4ZJQV2_38_count,Cytoplasmic Translation (GO:0002181),26742.88800197496,0.7388633425469885
13,4ZJQV2_34_count,Cytoplasmic Translation (GO:0002181),26740.45680392545,0.7387961724224633
14,4ZJQV2_11_count,Cytoplasmic Translation (GO:0002181),26736.71695112301,0.7386928462543232
15,4ZJQV2_14_count,Cytoplasmic Translation (GO:0002181),26731.64607265602,0.73855274596996
16,4ZJQV2_9_count,Cytoplasmic Translation (GO:0002181),26730.643033203356,0.7385250335896574
17,4ZJQV2_7_count,Cytoplasmic Translation (GO:0002181),26729.43034156934,0.7384915288539639
18,4ZJQV2_27_count,Cytoplasmic Translation (GO:0002181),26727.49007080899,0.7384379222674451
19,4ZJQV2_39_count,Cytoplasmic Translation (GO:0002181),26726.124565389844,0.7384001955305952
20,4ZJQV2_1_count,Cytoplasmic Translation (GO:0002181),26726.103391805984,0.7383996105382434
21,4ZJQV2_18_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26725.829176074534,0.7383920343949375
22,4ZJQV2_21_count,Cytoplasmic Translation (GO:0002181),26725.567194051484,0.7383847962494828
23,4ZJQV2_33_count,Cytoplasmic Translation (GO:0002181),26722.448675956057,0.7382986365683141
24,4ZJQV2_25_count,Cytoplasmic Translation (GO:0002181),26721.227857558562,0.7382649073031072
25,4ZJQV2_26_count,Cytoplasmic Translation (GO:0002181),26719.89982831957,0.7382282159733432
26,4ZJQV2_4_count,Cytoplasmic Translation (GO:0002181),26718.389317508965,0.7381864829688003
27,4ZJQV2_18_count,Cytoplasmic Translation (GO:0002181),26718.33689843222,0.7381850347133144
28,4ZJQV2_19_count,Cytoplasmic Translation (GO:0002181),26716.230163783763,0.738126828995065
29,4ZJQV2_3_count,Cytoplasmic Translation (GO:0002181),26716.083700898358,0.7381227824591389
30,4ZJQV2_24_count,Cytoplasmic Translation (GO:0002181),26715.856497473706,0.7381165051908886
31,4ZJQV2_32_count,Cytoplasmic Translation (GO:0002181),26715.490340675693,0.7381063888625528
32,4ZJQV2_17_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26713.332248682895,0.7380467642227904
33,4ZJQV2_16_count,Cytoplasmic Translation (GO:0002181),26711.775768911455,0.7380037611691768
34,4ZJQV2_17_count,Cytoplasmic Translation (GO:0002181),26709.732769860897,0.7379473163638437
35,4ZJQV2_32_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26709.345954273213,0.7379366292660985
36,4ZJQV2_29_count,Cytoplasmic Translation (GO:0002181),26704.95068503261,0.7378151949871131
37,4ZJQV2_2_count,Cytoplasmic Translation (GO:0002181),26701.439569784903,0.7377181884727906
38,4ZJQV2_20_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26699.48599970883,0.7376642144473899
39,4ZJQV2_6_count,Cytoplasmic Translation (GO:0002181),26698.595947287562,0.7376396237185587
40,4ZJQV2_20_count,Cytoplasmic Translation (GO:0002181),26697.877604051766,0.7376197770406585
41,4ZJQV2_31_count,Cytoplasmic Translation (GO:0002181),26695.020433957066,0.737540837987919
42,4ZJQV2_23_count,Cytoplasmic Translation (GO:0002181),26694.622840995533,0.7375298531285235
43,4ZJQV2_11_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26693.907206515076,0.737510081289213
44,4ZJQV2_35_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26693.006789475716,0.7374852042025147
45,4ZJQV2_12_count,Cytoplasmic Translation (GO:0002181),26690.494744733187,0.7374158004128061
46,4ZJQV2_19_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26689.849953963825,0.7373979858722426
47,4ZJQV2_37_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26689.306826992863,0.7373829801402827
48,4ZJQV2_16_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26687.36608179271,0.7373293604457488
49,4ZJQV2_20_count,Oxidative Phosphorylation (GO:0006119),26686.3930569897,0.737302477322345
50,4ZJQV2_22_count,Cytoplasmic Translation (GO:0002181),26684.77753952274,0.7372578431513649
51,4ZJQV2_8_count,Cytoplasmic Translation (GO:0002181),26684.683176074683,0.7372552360397979
52,4ZJQV2_15_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26680.676070259295,0.737144526097159
53,4ZJQV2_33_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26680.258954866713,0.7371330018641304
54,4ZJQV2_16_count,Oxidative Phosphorylation (GO:0006119),26679.532849625342,0.737112940734396
55,4ZJQV2_13_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26676.37542519347,0.7370257061332042
56,4ZJQV2_31_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26675.21027538363,0.7369935149022868
57,4ZJQV2_18_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26673.831200516965,0.7369554132632443
58,4ZJQV2_14_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26667.34771012206,0.7367762847643253
59,4ZJQV2_39_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26663.802850370415,0.7366783459431792
60,4ZJQV2_6_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26663.79573070123,0.7366781492380748
61,4ZJQV2_3_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26659.7619989217,0.7365667036625131
62,4ZJQV2_17_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26657.52228651814,0.73650482398098
63,4ZJQV2_32_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26653.968575413368,0.7364066406110641
64,4ZJQV2_12_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26652.24176144469,0.7363589314952513
65,4ZJQV2_10_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26649.839588703304,0.7362925632936964
66,4ZJQV2_35_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26648.105476786557,0.7362446525472182
67,4ZJQV2_40_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26646.077265171065,0.7361886162951311
68,4ZJQV2_33_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26643.401724469644,0.7361146953728424
69,4ZJQV2_17_count,Oxidative Phosphorylation (GO:0006119),26643.198893166125,0.7361090914674272
70,4ZJQV2_32_count,Oxidative Phosphorylation (GO:0006119),26643.024526302925,0.7361042739890993
71,4ZJQV2_18_count,Oxidative Phosphorylation (GO:0006119),26642.257738936434,0.7360830888771329
72,4ZJQV2_20_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26641.08612576312,0.7360507190737914
73,4ZJQV2_38_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26637.36273262436,0.7359478476599067
74,4ZJQV2_11_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26637.14360452334,0.7359417934999688
75,4ZJQV2_8_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26636.667400532406,0.7359286367432099
76,4ZJQV2_37_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26636.132663025,0.7359138627987474
77,4ZJQV2_19_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26634.603220259305,0.7358716067344804
78,4ZJQV2_34_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26633.092824070176,0.7358298768967461
79,4ZJQV2_9_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26625.86060304949,0.7356300621648073
80,4ZJQV2_13_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26625.28088451076,0.7356140454661909
81,4ZJQV2_16_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26623.17379617426,0.7355558299761048
82,4ZJQV2_4_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26622.18592862386,0.7355285367712637
83,4ZJQV2_31_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26622.035116941523,0.7355243700850144
84,4ZJQV2_15_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26621.333062943682,0.7355049734527788
85,4ZJQV2_37_count,Oxidative Phosphorylation (GO:0006119),26620.8372787748,0.735491275726932
86,4ZJQV2_19_count,Oxidative Phosphorylation (GO:0006119),26617.642322708773,0.7354030041865485
87,4ZJQV2_24_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26615.811868759865,0.7353524316633802
88,4ZJQV2_14_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26615.505905409365,0.735343978383995
89,4ZJQV2_28_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26614.552341818162,0.7353176329428341
90,4ZJQV2_36_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26613.548167319983,0.7352898892030342
91,4ZJQV2_11_count,Oxidative Phosphorylation (GO:0006119),26612.73990056278,0.735267558081659
92,4ZJQV2_6_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26611.43395175091,0.7352314767988797
